DESCRIPTION,CODE1,CODE1TYPE,SETTING,DRUG_UNIT_OF_MEASUREMENT,DRUG_TYPE_OF_MEASUREMENT,STANDARD_CHARGEGROSS,STANDARD_CHARGEDISCOUNTED_CASH
PYRIMETHAMINE 25 MG TABLET [11246],4359867230 [326204],NDC,BOTH,1,EA ,2332.58,1959.36
QUETIAPINE 100 MG TABLET [21824],0093816201 [214849],NDC,BOTH,1,EA ,44.63,37.49
QUETIAPINE 100 MG TABLET [21824],0310027110 [16685],NDC,BOTH,1,EA ,51.98,43.66
QUETIAPINE 100 MG TABLET [21824],0904664061 [297974],NDC,BOTH,1,EA ,3.68,3.09
QUETIAPINE 100 MG TABLET [21824],1671445401 [271110],NDC,BOTH,1,EA ,44.63,37.49
QUETIAPINE 100 MG TABLET [21824],5026863211 [286011],NDC,BOTH,1,EA ,42,35.28
QUETIAPINE 100 MG TABLET [21824],5026863215 [286012],NDC,BOTH,1,EA ,42,35.28
QUETIAPINE 100 MG TABLET [21824],5511118601 [221740],NDC,BOTH,1,EA ,44.63,37.49
QUETIAPINE 200 MG TABLET [21825],0093816301 [214851],NDC,BOTH,1,EA ,84.26,70.78
QUETIAPINE 200 MG TABLET [21825],0310027210 [16687],NDC,BOTH,1,EA ,98.18,82.47
QUETIAPINE 200 MG TABLET [21825],0904664161 [296711],NDC,BOTH,1,EA ,7.61,6.39
QUETIAPINE 200 MG TABLET [21825],1671445501 [271112],NDC,BOTH,1,EA ,83.74,70.34
QUETIAPINE 25 MG TABLET [21823],0093206301 [246460],NDC,BOTH,1,EA ,25.99,21.83
QUETIAPINE 25 MG TABLET [21823],0904663861 [297396],NDC,BOTH,1,EA ,2.36,1.98
QUETIAPINE 25 MG TABLET [21823],1671445201 [271106],NDC,BOTH,1,EA ,25.99,21.83
QUETIAPINE 25 MG TABLET [21823],1672914501 [216588],NDC,BOTH,1,EA ,25.99,21.83
QUETIAPINE 25 MG TABLET [21823],5511124901 [221743],NDC,BOTH,1,EA ,25.99,21.83
QUETIAPINE 25 MG TABLET [21823],6068732701 [298466],NDC,BOTH,1,EA ,24.68,20.73
QUETIAPINE 25 MG TABLET [21823],6068732711 [298467],NDC,BOTH,1,EA ,24.68,20.73
QUINAPRIL 10 MG TABLET [11251],0071053040 [5411],NDC,BOTH,1,EA ,26.51,22.27
QUINAPRIL 10 MG TABLET [11251],5976250201 [112974],NDC,BOTH,1,EA ,8.14,6.84
QUINAPRIL 10 MG TABLET [11251],6586261890 [245506],NDC,BOTH,1,EA ,8.14,6.84
QUINAPRIL 10 MG TABLET [11251],6818055709 [144798],NDC,BOTH,1,EA ,8.14,6.84
QUINAPRIL 20 MG TABLET [11252],0071053240 [5413],NDC,BOTH,1,EA ,38.06,31.97
QUINAPRIL 20 MG TABLET [11252],5976250211 [112975],NDC,BOTH,1,EA ,8.14,6.84
QUINAPRIL 20 MG TABLET [11252],6586261990 [245507],NDC,BOTH,1,EA ,8.14,6.84
QUINAPRIL 20 MG TABLET [11252],6818055809 [144799],NDC,BOTH,1,EA ,8.14,6.84
QUINAPRIL 5 MG TABLET [11254],0071052740 [5409],NDC,BOTH,1,EA ,26.51,22.27
QUINAPRIL 5 MG TABLET [11254],5976250191 [112973],NDC,BOTH,1,EA ,8.14,6.84
QUINAPRIL 5 MG TABLET [11254],6586261790 [245505],NDC,BOTH,1,EA ,8.14,6.84
QUINIDINE SULFATE 200 MG TABLET [6777],0185434601 [12372],NDC,BOTH,1,EA ,2.1,1.76
QUININE 324 MG CAPSULE [6781],1331015307 [135580],NDC,BOTH,1,EA ,51.19,43
QUININE 324 MG CAPSULE [6781],5074223830 [298317],NDC,BOTH,1,EA ,47.78,40.13
RABIES IMMUNE GLOBULIN (PF) 150 UNIT/ML INTRAMUSCULAR SOLUTION [127281],1353361802 [124363],NDC,BOTH,2,ML,2354.89,1978.11
RABIES IMMUNE GLOBULIN (PF) 150 UNIT/ML INTRAMUSCULAR SOLUTION [127281],1353361810 [124364],NDC,BOTH,10,ML,9549.23,8021.35
RABIES IMMUNE GLOBULIN (PF) 150 UNIT/ML INTRAMUSCULAR SOLUTION [127281],1353361820 [270870],NDC,BOTH,2,ML,2078.48,1745.92
RABIES IMMUNE GLOBULIN (PF) 150 UNIT/ML INTRAMUSCULAR SOLUTION [127281],4928119020 [48963],NDC,BOTH,2,ML,3027.94,2543.47
RABIES IMMUNE GLOBULIN (PF) 150 UNIT/ML INTRAMUSCULAR SOLUTION [127281],7612515002 [307933],NDC,BOTH,2,ML,2618.96,2199.93
RABIES IMMUNE GLOBULIN (PF) 150 UNIT/ML INTRAMUSCULAR SOLUTION [127281],7612515003 [307934],NDC,BOTH,2,ML,2618.96,2199.93
RABIES IMMUNE GLOBULIN (PF) 150 UNIT/ML INTRAMUSCULAR SOLUTION [127281],7612515010 [308255],NDC,BOTH,10,ML,9694.65,8143.51
RABIES IMMUNE GLOBULIN (PF) 150 UNIT/ML INTRAMUSCULAR SOLUTION [127281],7612515011 [317570],NDC,BOTH,10,ML,9694.65,8143.51
RABIES IMMUNE GLOBULIN (PF) 300 UNIT/ML INTRAMUSCULAR SOLUTION [178748],1353331801 [302780],NDC,BOTH,1,ML,2354.89,1978.11
RABIES IMMUNE GLOBULIN (PF) 300 UNIT/ML INTRAMUSCULAR SOLUTION [178748],1353331805 [302781],NDC,BOTH,5,ML,9549.23,8021.35
RABIES IMMUNE GLOBULIN (PF) 300 UNIT/ML INTRAMUSCULAR SOLUTION [178748],1353331810 [302782],NDC,BOTH,1,ML,2354.89,1978.11
RABIES IMMUNE GLOBULIN (PF) 300 UNIT/ML INTRAMUSCULAR SOLUTION [178748],1353331850 [302783],NDC,BOTH,5,ML,9549.23,8021.35
RACEPINEPHRINE 2.25 % SOLUTION FOR NEBULIZATION [113082],0487278401 [225467],NDC,BOTH,1,EA ,6.56,5.51
RACEPINEPHRINE 2.25 % SOLUTION FOR NEBULIZATION [113082],0487590199 [20257],NDC,BOTH,1,EA ,11.81,9.92
RALOXIFENE 60 MG TABLET [22143],0093729056 [246477],NDC,BOTH,1,EA ,51.19,43
RALOXIFENE 60 MG TABLET [22143],1671421301 [345514],NDC,BOTH,1,EA ,51.19,43
RALOXIFENE 60 MG TABLET [22143],6516205703 [286772],NDC,BOTH,1,EA ,51.19,43
RALTEGRAVIR 400 MG TABLET [88608],0006022761 [152603],NDC,BOTH,1,EA ,186.38,156.56
RAMIPRIL 1.25 MG CAPSULE [11258],5723722201 [292093],NDC,BOTH,1,EA ,9.98,8.38
RAMIPRIL 1.25 MG CAPSULE [11258],6157011001 [86801],NDC,BOTH,1,EA ,39.64,33.3
RAMIPRIL 1.25 MG CAPSULE [11258],6838214406 [204067],NDC,BOTH,1,EA ,9.98,8.38
RAMIPRIL 10 MG CAPSULE [11259],6157012001 [86809],NDC,BOTH,1,EA ,57.49,48.29
RAMIPRIL 10 MG CAPSULE [11259],6818059101 [167279],NDC,BOTH,1,EA ,14.44,12.13
RAMIPRIL 2.5 MG CAPSULE [11260],5723722301 [292095],NDC,BOTH,1,EA ,11.81,9.92
RAMIPRIL 2.5 MG CAPSULE [11260],6586247501 [223566],NDC,BOTH,1,EA ,11.81,9.92
RAMIPRIL 2.5 MG CAPSULE [11260],6818058901 [167275],NDC,BOTH,1,EA ,11.81,9.92
RAMIPRIL 5 MG CAPSULE [11261],6818059001 [167277],NDC,BOTH,1,EA ,12.34,10.36
RAMIPRIL 5 MG CAPSULE [11261],6838214601 [204071],NDC,BOTH,1,EA ,12.34,10.36
RAMUCIRUMAB 10 MG/ML INTRAVENOUS SOLUTION [125686],0002766901 [246318],NDC,BOTH,10,ML,4635.75,3894.03
RAMUCIRUMAB 10 MG/ML INTRAVENOUS SOLUTION [125686],0002767801 [246319],NDC,BOTH,50,ML,13032.08,10946.94
RAMUCIRUMAB 10 MG/ML INTRAVENOUS SOLUTION [125686],0002767801 [246319],NDC,BOTH,8,ME,13553.4,11384.86
RASBURICASE 1.5 MG INTRAVENOUS SOLUTION [33591],0024515010 [2758],NDC,BOTH,1.5,ME,3736.69,3138.82
RASBURICASE 1.5 MG INTRAVENOUS SOLUTION [33591],0024515011 [269316],NDC,BOTH,1.5,ME,3736.69,3138.82
RASBURICASE 7.5 MG INTRAVENOUS SOLUTION [76868],0024515174 [341278],NDC,BOTH,0.1,ME,9104.29,7647.6
RASBURICASE 7.5 MG INTRAVENOUS SOLUTION [76868],0024515174 [341278],NDC,BOTH,7.5,ME,10504.73,8823.97
RASBURICASE 7.5 MG INTRAVENOUS SOLUTION [76868],0024515175 [135440],NDC,BOTH,7.5,ME,10504.73,8823.97
REGADENOSON 0.4 MG/5 ML INTRAVENOUS SYRINGE [91408],0469650189 [162771],NDC,BOTH,5,ML,1032.15,867.01
REGADENOSON 0.4 MG/5 ML INTRAVENOUS SYRINGE [91408],0641625301 [356212],NDC,BOTH,5,ML,721.88,606.38
REGADENOSON 0.4 MG/5 ML INTRAVENOUS SYRINGE [91408],1672947731 [356215],NDC,BOTH,5,ML,1032.15,867.01
REGADENOSON 0.4 MG/5 ML INTRAVENOUS SYRINGE [91408],7128820185 [356213],NDC,BOTH,5,ML,721.88,606.38
REGADENOSON 0.4 MG/5 ML INTRAVENOUS SYRINGE [91408],7632933210 [356219],NDC,BOTH,5,ML,188.21,158.1
RELUGOLIX 120 MG TABLET [187374],7297412001 [334570],NDC,BOTH,1,EA ,328.13,275.63
REMDESIVIR 100 MG INTRAVENOUS POWDER FOR SOLUTION [185460],6195829011 [328995],NDC,BOTH,1,EA ,1826.48,1534.24
REMDESIVIR 100 MG INTRAVENOUS POWDER FOR SOLUTION [185460],6195829012 [332512],NDC,BOTH,1,EA ,1826.48,1534.24
REMDESIVIR 100 MG INTRAVENOUS POWDER FOR SOLUTION [185460],6195829012 [332512],NDC,BOTH,100,ME,1826.48,1534.24
REMDESIVIR 100 MG INTRAVENOUS POWDER FOR SOLUTION [185460],6195829012 [332512],NDC,BOTH,200,ME,3652.95,3068.48
REMDESIVIR 100 MG INTRAVENOUS POWDER FOR SOLUTION [185460],6195829012 [332512],NDC,BOTH,5,ME,5899.43,4955.52
REMIFENTANIL 1 MG INTRAVENOUS SOLUTION [18398],0143939101 [344460],NDC,BOTH,1,EA ,290.33,243.87
REMIFENTANIL 1 MG INTRAVENOUS SOLUTION [18398],0143939110 [344461],NDC,BOTH,1,EA ,290.33,243.87
REMIFENTANIL 1 MG INTRAVENOUS SOLUTION [18398],6745719803 [184538],NDC,BOTH,1,EA ,290.33,243.87
REMIFENTANIL 2 MG INTRAVENOUS SOLUTION [18400],6332372405 [301664],NDC,BOTH,1,EA ,609.26,511.78
REMIFENTANIL 2 MG INTRAVENOUS SOLUTION [18400],6745719805 [184539],NDC,BOTH,1,EA ,580.65,487.75
REMIFENTANIL 2 MG INTRAVENOUS SOLUTION [18400],6745719899 [266149],NDC,BOTH,1,EA ,580.65,487.75
REMIFENTANIL 2 MG INTRAVENOUS SOLUTION [18400],6745719899 [266149],NDC,BOTH,5,ME,1741.69,1463.02
REMIFENTANIL 5 MG INTRAVENOUS SOLUTION [18399],6745719810 [184540],NDC,BOTH,1,EA ,1075.73,903.61
REMIMAZOLAM 20 MG INTRAVENOUS SOLUTION [187267],7139001100 [334420],NDC,BOTH,1,EA ,259.35,217.85
REMIMAZOLAM 20 MG INTRAVENOUS SOLUTION [187267],7139001111 [334421],NDC,BOTH,1,EA ,259.35,217.85
REPAGLINIDE 0.5 MG TABLET [22584],0574024001 [238769],NDC,BOTH,1,EA ,2.89,2.43
REPAGLINIDE 0.5 MG TABLET [22584],5723715701 [286235],NDC,BOTH,1,EA ,23.89,20.07
REPAGLINIDE 0.5 MG TABLET [22584],6586267001 [252358],NDC,BOTH,1,EA ,21.79,18.3
REPAGLINIDE 2 MG TABLET [22585],0574024201 [246945],NDC,BOTH,1,EA ,2.89,2.43
REPAGLINIDE 2 MG TABLET [22585],5766474788 [244383],NDC,BOTH,1,EA ,23.89,20.07
REPAGLINIDE 2 MG TABLET [22585],6586267201 [252360],NDC,BOTH,1,EA ,23.89,20.07
RIBAVIRIN 200 MG CAPSULE [11286],6643510184 [175502],NDC,BOTH,1,EA ,35.44,29.77
RIBAVIRIN 200 MG CAPSULE [11286],6838226012 [129285],NDC,BOTH,1,EA ,69.56,58.43
RIBOCICLIB 400 MG/DAY (200 MG X 2) AND LETROZOLE 2.5 MG TABLET [174485],0078091661 [294886],NDC,BOTH,1,EA ,767.03,644.3
RIBOCICLIB 600 MG/DAY (200 MG X 3) AND LETROZOLE 2.5 MG TABLET [174486],0078092361 [294887],NDC,BOTH,1,EA ,737.63,619.61
RIFABUTIN 150 MG CAPSULE [11290],0013530117 [2257],NDC,BOTH,1,EA ,150.15,126.13
RIFABUTIN 150 MG CAPSULE [11290],1013573801 [347851],NDC,BOTH,1,EA ,75.6,63.5
RIFABUTIN 150 MG CAPSULE [11290],5976213501 [256465],NDC,BOTH,1,EA ,113.66,95.48
RIFAMPIN 150 MG CAPSULE [11292],0185080130 [12344],NDC,BOTH,1,EA ,21.26,17.86
RIFAMPIN 150 MG CAPSULE [11292],0527139330 [162802],NDC,BOTH,1,EA ,21.26,17.86
RIFAMPIN 150 MG CAPSULE [11292],6068757511 [335725],NDC,BOTH,1,EA ,12.86,10.8
RIFAMPIN 150 MG CAPSULE [11292],6068757521 [335726],NDC,BOTH,1,EA ,12.86,10.8
RIFAMPIN 150 MG CAPSULE [11292],6174801530 [87028],NDC,BOTH,1,EA ,10.5,8.82
RIFAMPIN 150 MG CAPSULE [11292],6808435711 [190901],NDC,BOTH,1,EA ,13.13,11.03
RIFAMPIN 150 MG CAPSULE [11292],6808435721 [190902],NDC,BOTH,1,EA ,13.13,11.03
RIFAMPIN 300 MG CAPSULE [11293],0185079901 [12339],NDC,BOTH,1,EA ,29.93,25.14
RIFAMPIN 300 MG CAPSULE [11293],0527131501 [162794],NDC,BOTH,1,EA ,29.93,25.14
RIFAMPIN 300 MG CAPSULE [11293],0527131530 [162796],NDC,BOTH,1,EA ,29.93,25.14
RIFAMPIN 300 MG CAPSULE [11293],0904528261 [289068],NDC,BOTH,1,EA ,8.66,7.28
RIFAMPIN 300 MG CAPSULE [11293],6068758601 [335731],NDC,BOTH,1,EA ,8.93,7.5
RIFAMPIN 300 MG CAPSULE [11293],6068758611 [335732],NDC,BOTH,1,EA ,8.93,7.5
RIFAMPIN 300 MG CAPSULE [11293],6174801801 [87030],NDC,BOTH,1,EA ,13.13,11.03
RIFAMPIN 300 MG CAPSULE [11293],6174801830 [87031],NDC,BOTH,1,EA ,13.13,11.03
RIFAMPIN 300 MG CAPSULE [11293],6174801860 [87032],NDC,BOTH,1,EA ,13.13,11.03
RIFAMPIN 300 MG CAPSULE [11293],6373941510 [143239],NDC,BOTH,1,EA ,12.6,10.58
RIFAMPIN 600 MG INTRAVENOUS SOLUTION [11291],0068059701 [5291],NDC,BOTH,1,EA ,736.58,618.72
RIFAMPIN 600 MG INTRAVENOUS SOLUTION [11291],0068059701 [5291],NDC,BOTH,300,ME,736.58,618.72
RIFAMPIN 600 MG INTRAVENOUS SOLUTION [11291],5539012301 [76245],NDC,BOTH,1,EA ,256.73,215.65
RIFAMPIN 600 MG INTRAVENOUS SOLUTION [11291],6332335120 [274847],NDC,BOTH,1,EA ,724.76,608.8
RIFAMPIN 600 MG INTRAVENOUS SOLUTION [11291],6745744560 [275134],NDC,BOTH,1,EA ,760.46,638.79
RIFAXIMIN 200 MG TABLET [39063],6564930103 [110257],NDC,BOTH,1,EA ,156.19,131.2
RIFAXIMIN 550 MG TABLET [104604],6564930302 [195158],NDC,BOTH,1,EA ,217.88,183.02
RIFAXIMIN 550 MG TABLET [104604],6564930303 [195159],NDC,BOTH,1,EA ,217.88,183.02
RILPIVIRINE HCL 25 MG TABLET [109909],5967627801 [208387],NDC,BOTH,1,EA ,248.59,208.81
RIMANTADINE 100 MG TABLET [15440],0115191101 [10041],NDC,BOTH,1,EA ,25.99,21.83
RISANKIZUMABRZAA 60 MG/ML INTRAVENOUS SOLUTION [192164],0074501501 [350052],NDC,BOTH,10,ML,18042.68,15155.85
RISANKIZUMABRZAA 60 MG/ML INTRAVENOUS SOLUTION [192164],0074501501 [350052],NDC,BOTH,600,ME,18042.68,15155.85
RISEDRONATE 35 MG TABLET [32895],0430047203 [215140],NDC,BOTH,1,EA ,327.34,274.96
RISPERIDONE 0.25 MG TABLET [25519],0904635761 [247070],NDC,BOTH,1,EA ,23.36,19.62
RISPERIDONE 0.25 MG TABLET [25519],2724100206 [254470],NDC,BOTH,1,EA ,25.46,21.39
RISPERIDONE 0.25 MG TABLET [25519],4354733906 [279347],NDC,BOTH,1,EA ,25.46,21.39
RISPERIDONE 0.25 MG TABLET [25519],5107946020 [174242],NDC,BOTH,1,EA ,25.46,21.39
RISPERIDONE 0.25 MG TABLET [25519],6808427001 [175694],NDC,BOTH,1,EA ,25.46,21.39
RISPERIDONE 0.25 MG TABLET [25519],6808427011 [175695],NDC,BOTH,1,EA ,25.46,21.39
RISPERIDONE 1 MG TABLET [18313],0904635961 [247072],NDC,BOTH,1,EA ,29.66,24.92
RISPERIDONE 1 MG TABLET [18313],0904736261 [367598],NDC,BOTH,1,EA ,2.89,2.43
RISPERIDONE 1 MG TABLET [18313],1366803705 [179547],NDC,BOTH,1,EA ,29.66,24.92
RISPERIDONE 1 MG TABLET [18313],1366803760 [179548],NDC,BOTH,1,EA ,29.66,24.92
RISPERIDONE 1 MG TABLET [18313],5045830001 [54797],NDC,BOTH,1,EA ,70.61,59.31
RISPERIDONE 1 MG/ML ORAL SOLUTION [17377],5045859601 [174214],NDC,BOTH,30,ML,576.71,484.44
RISPERIDONE 2 MG DISINTEGRATING TABLET [35688],0781531206 [284897],NDC,BOTH,1,EA ,63,52.92
RISPERIDONE 2 MG DISINTEGRATING TABLET [35688],0781531208 [186037],NDC,BOTH,1,EA ,63,52.92
RISPERIDONE 2 MG TABLET [18311],0904636061 [247073],NDC,BOTH,1,EA ,50.66,42.56
RISPERIDONE 2 MG TABLET [18311],5045832001 [54809],NDC,BOTH,1,EA ,68.78,57.77
RISPERIDONE 2 MG TABLET [18311],5107946301 [174247],NDC,BOTH,1,EA ,54.34,45.64
RISPERIDONE 2 MG TABLET [18311],5107946320 [174248],NDC,BOTH,1,EA ,54.34,45.64
RITONAVIR 100 MG TABLET [100995],0074333330 [185499],NDC,BOTH,1,EA ,66.94,56.23
RITONAVIR 100 MG TABLET [100995],3172259730 [308465],NDC,BOTH,1,EA ,60.38,50.72
RITONAVIR 100 MG TABLET [100995],6586268730 [309820],NDC,BOTH,1,EA ,60.38,50.72
RITONAVIR 80 MG/ML ORAL SOLUTION [16440],0074194063 [6038],NDC,BOTH,240,ML,5058.38,4249.04
RITUXIMABABBS 10 MG/ML INTRAVENOUS SOLUTION [183621],6345910310 [323650],NDC,BOTH,100,ME,2968.09,2493.19
RITUXIMABABBS 10 MG/ML INTRAVENOUS SOLUTION [183621],6345910310 [323650],NDC,BOTH,375,ME,18994.5,15955.38
RITUXIMABABBS 10 MG/ML INTRAVENOUS SOLUTION [183621],6345910450 [323651],NDC,BOTH,500,ME,8343.56,7008.59
RIVAROXABAN 10 MG TABLET [110250],5045858001 [331222],NDC,BOTH,1,EA ,122.33,102.75
RIVAROXABAN 10 MG TABLET [110250],5045858010 [212482],NDC,BOTH,1,EA ,122.33,102.75
RIVAROXABAN 10 MG TABLET [110250],5045858030 [212483],NDC,BOTH,1,EA ,122.33,102.75
RIVAROXABAN 10 MG TABLET [110250],5045858090 [299904],NDC,BOTH,1,EA ,122.33,102.75
RIVAROXABAN 15 MG TABLET [112834],5045857801 [331220],NDC,BOTH,1,EA ,122.33,102.75
RIVAROXABAN 15 MG TABLET [112834],5045857810 [219654],NDC,BOTH,1,EA ,122.33,102.75
RIVAROXABAN 15 MG TABLET [112834],5045857830 [219655],NDC,BOTH,1,EA ,122.33,102.75
RIVAROXABAN 15 MG TABLET [112834],5045857890 [219656],NDC,BOTH,1,EA ,122.33,102.75
RIVASTIGMINE 4.6 MG/24 HOUR TRANSDERMAL PATCH [82504],0078050115 [145424],NDC,BOTH,1,EA ,148.31,124.58
RIVASTIGMINE 4.6 MG/24 HOUR TRANSDERMAL PATCH [82504],0078050161 [145425],NDC,BOTH,1,EA ,148.31,124.58
RIVASTIGMINE 4.6 MG/24 HOUR TRANSDERMAL PATCH [82504],0378907016 [320250],NDC,BOTH,1,EA ,114.71,96.36
RIVASTIGMINE 4.6 MG/24 HOUR TRANSDERMAL PATCH [82504],0378907093 [308060],NDC,BOTH,1,EA ,114.71,96.36
RIVASTIGMINE 4.6 MG/24 HOUR TRANSDERMAL PATCH [82504],1671411501 [324673],NDC,BOTH,1,EA ,112.88,94.82
RIVASTIGMINE 4.6 MG/24 HOUR TRANSDERMAL PATCH [82504],1671411502 [324674],NDC,BOTH,1,EA ,112.88,94.82
RIVASTIGMINE 4.6 MG/24 HOUR TRANSDERMAL PATCH [82504],4778130403 [279497],NDC,BOTH,1,EA ,110.25,92.61
RIVASTIGMINE 4.6 MG/24 HOUR TRANSDERMAL PATCH [82504],4778130411 [285961],NDC,BOTH,1,EA ,110.25,92.61
RIVASTIGMINE 4.6 MG/24 HOUR TRANSDERMAL PATCH [82504],5199189730 [325096],NDC,BOTH,1,EA ,114.71,96.36
RIVASTIGMINE 4.6 MG/24 HOUR TRANSDERMAL PATCH [82504],5199189799 [325097],NDC,BOTH,1,EA ,114.71,96.36
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],0143925001 [321177],NDC,BOTH,5,ML,400.58,336.48
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],0409955805 [176133],NDC,BOTH,5,ML,29.14,24.48
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],0409955810 [176134],NDC,BOTH,10,ML,55.91,46.97
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],0409955811 [325924],NDC,BOTH,5,ML,29.14,24.48
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],0409955849 [176135],NDC,BOTH,5,ML,23.89,20.07
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],0409955869 [328082],NDC,BOTH,5,ML,23.89,20.07
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],3982242005 [235034],NDC,BOTH,10,ML,61.16,51.38
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],3982242006 [235035],NDC,BOTH,10,ML,61.16,51.38
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],4306600710 [320503],NDC,BOTH,5,ML,273,229.32
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],5515022505 [296032],NDC,BOTH,5,ML,68.25,57.33
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],5515022610 [296033],NDC,BOTH,10,ML,130.73,109.81
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],6332342602 [326648],NDC,BOTH,5,ML,53.03,44.54
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],6332342605 [177584],NDC,BOTH,5,ML,53.03,44.54
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],6745722805 [223850],NDC,BOTH,5,ML,39.64,33.3
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],6745722810 [223851],NDC,BOTH,10,ML,54.6,45.86
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],6745757300 [257304],NDC,BOTH,5,ML,39.64,33.3
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],6745757400 [257306],NDC,BOTH,10,ML,56.96,47.85
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],70092245244 [316532],NDC,BOTH,5,ML,65.63,55.13
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],7261175601 [329296],NDC,BOTH,5,ML,45.94,38.59
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],7261175610 [329297],NDC,BOTH,5,ML,45.94,38.59
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],7700005738 [289127],NDC,BOTH,5,ML,39.38,33.08
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION WRAPPER [95811],7700573805 [314911],NDC,BOTH,5,ML,49.61,41.67
ROCURONIUM 50 MG/5 ML (10 MG/ML) INTRAVENOUS SYRINGE [132053],6937492405 [319362],NDC,BOTH,5,ML,48.83,41.01
ROCURONIUM 50 MG/5 ML (10 MG/ML) INTRAVENOUS SYRINGE [132053],70092145244 [301968],NDC,BOTH,5,ML,57.49,48.29
ROCURONIUM 50 MG/5 ML (10 MG/ML) INTRAVENOUS SYRINGE [132053],70092245244 [316532],NDC,BOTH,5,ML,65.63,55.13
ROCURONIUM 50 MG/5 ML (10 MG/ML) INTRAVENOUS SYRINGE [132053],7700573805 [314911],NDC,BOTH,5,ML,49.61,41.67
ROFLUMILAST 250 MCG TABLET [178292],0310008828 [302455],NDC,BOTH,1,EA ,112.09,94.15
ROFLUMILAST 500 MCG TABLET [109401],0310009590 [284147],NDC,BOTH,1,EA ,105.53,88.64
ROFLUMILAST 500 MCG TABLET [109401],3172262330 [350947],NDC,BOTH,1,EA ,97.91,82.25
ROFLUMILAST 500 MCG TABLET [109401],3172262390 [350948],NDC,BOTH,1,EA ,97.91,82.25
ROMIDEPSIN 10 MG/2 ML INTRAVENOUS POWDER FOR SOLUTION [100344],5957298401 [292281],NDC,BOTH,10,ME,9177.26,7708.9
ROMIDEPSIN 10 MG/2 ML INTRAVENOUS POWDER FOR SOLUTION [100344],5957298401 [292281],NDC,BOTH,14,ME,21933.45,18424.1
ROMIPLOSTIM 125 MCG SUBCUTANEOUS SOLUTION [183996],5551322301 [324187],NDC,BOTH,125,ML,3625.91,3045.77
ROMIPLOSTIM 250 MCG SUBCUTANEOUS SOLUTION [93566],5551322101 [174919],NDC,BOTH,250,ML,5881.31,4940.3
ROMIPLOSTIM 500 MCG SUBCUTANEOUS SOLUTION [93567],5551322201 [174920],NDC,BOTH,500,ML,11762.63,9880.61
ROPINIROLE 0.25 MG TABLET [21688],0904637361 [277043],NDC,BOTH,1,EA ,3.94,3.31
ROPINIROLE 0.25 MG TABLET [21688],4354726810 [218863],NDC,BOTH,1,EA ,16.28,13.67
ROPINIROLE 0.25 MG TABLET [21688],6846225301 [193018],NDC,BOTH,1,EA ,16.28,13.67
ROPINIROLE 1 MG TABLET [21689],0904637461 [277044],NDC,BOTH,1,EA ,4.46,3.75
ROPINIROLE 1 MG TABLET [21689],4354727010 [218865],NDC,BOTH,1,EA ,16.28,13.67
ROPINIROLE 1 MG TABLET [21689],6233203231 [281732],NDC,BOTH,1,EA ,16.28,13.67
ROPINIROLE 1 MG TABLET [21689],6846225501 [193020],NDC,BOTH,1,EA ,16.28,13.67
ROPIVACAINE (PF) 0.5 % (5 MG/ML) EPIDURAL SOLUTION [408133270],42852100402 [289174],NDC,BOTH,100,ML,308.18,258.87
ROPIVACAINE (PF) 0.5 % (5 MG/ML) EPIDURAL SOLUTION [408133270],42852270404 [289177],NDC,BOTH,270,ML,406.88,341.78
ROPIVACAINE (PF) 0.5 % (5 MG/ML) EPIDURAL SOLUTION [408133270],6155300239 [285271],NDC,BOTH,100,ML,734.74,617.18
